index	preset	status	image	glic	log
27	bl33dyl1n3z-2	ok	images/027_bl33dyl1n3z-2.png	glic/027_bl33dyl1n3z-2.glic	logs/027_bl33dyl1n3z-2.log
28	black+whiteblockyglitch	ok	images/028_black+whiteblockyglitch.png	glic/028_black+whiteblockyglitch.glic	logs/028_black+whiteblockyglitch.log
29	blasted	ok	images/029_blasted.png	glic/029_blasted.glic	logs/029_blasted.log
30	bleeding_blocks	ok	images/030_bleeding_blocks.png	glic/030_bleeding_blocks.glic	logs/030_bleeding_blocks.log
31	blocks	ok	images/031_blocks.png	glic/031_blocks.glic	logs/031_blocks.log
32	blockssmoll	ok	images/032_blockssmoll.png	glic/032_blockssmoll.glic	logs/032_blockssmoll.log
33	blops	ok	images/033_blops.png	glic/033_blops.glic	logs/033_blops.log
34	blops2	ok	images/034_blops2.png	glic/034_blops2.glic	logs/034_blops2.log
35	brokens7r1p3z	ok	images/035_brokens7r1p3z.png	glic/035_brokens7r1p3z.glic	logs/035_brokens7r1p3z.log
36	burn	ok	images/036_burn.png	glic/036_burn.glic	logs/036_burn.log
37	c0m1c	ok	images/037_c0m1c.png	glic/037_c0m1c.glic	logs/037_c0m1c.log
38	cartoon	ok	images/038_cartoon.png	glic/038_cartoon.glic	logs/038_cartoon.log
39	ch3ss	ok	images/039_ch3ss.png	glic/039_ch3ss.glic	logs/039_ch3ss.log
40	channels	ok	images/040_channels.png	glic/040_channels.glic	logs/040_channels.log
41	chock-a-block	ok	images/041_chock-a-block.png	glic/041_chock-a-block.glic	logs/041_chock-a-block.log
42	colour_boxy_glitch	ok	images/042_colour_boxy_glitch.png	glic/042_colour_boxy_glitch.glic	logs/042_colour_boxy_glitch.log
43	colour_glow	ok	images/043_colour_glow.png	glic/043_colour_glow.glic	logs/043_colour_glow.log
44	colour_mess	ok	images/044_colour_mess.png	glic/044_colour_mess.glic	logs/044_colour_mess.log
45	colour_mess2	ok	images/045_colour_mess2.png	glic/045_colour_mess2.glic	logs/045_colour_mess2.log
46	colour_waves	ok	images/046_colour_waves.png	glic/046_colour_waves.glic	logs/046_colour_waves.log
47	colour_waves_2	ok	images/047_colour_waves_2.png	glic/047_colour_waves_2.glic	logs/047_colour_waves_2.log
48	colour_waves_3	ok	images/048_colour_waves_3.png	glic/048_colour_waves_3.glic	logs/048_colour_waves_3.log
49	colour_waves_sharp	ok	images/049_colour_waves_sharp.png	glic/049_colour_waves_sharp.glic	logs/049_colour_waves_sharp.log
50	colour_waves_sharp2	ok	images/050_colour_waves_sharp2.png	glic/050_colour_waves_sharp2.glic	logs/050_colour_waves_sharp2.log
51	colourful_disturbances	ok	images/051_colourful_disturbances.png	glic/051_colourful_disturbances.glic	logs/051_colourful_disturbances.log
52	confetti	ok	images/052_confetti.png	glic/052_confetti.glic	logs/052_confetti.log
